candidate_id,procedure_id,person_name,candidate_status,affiliation,source_document_id,source_url,confidence_level,notes
ACU-PILOT-0008-CA-01,ACU-PILOT-0008,Lorena Pochini,eligible,,ACU-PILOT-0008-DOC-05,https://unical.portaleamministrazionetrasparente.it/archivio22_bandi-di-concorso_0_28522_874_1.html,high,"In Art. 2 of the official acts approval decree, the candidate is declared qualificata for the scientific-disciplinary group and sector."
ACU-PILOT-0009-CA-01,ACU-PILOT-0009,Giacomo Bozzo,admitted,,ACU-PILOT-0009-DOC-05,https://unical.portaleamministrazionetrasparente.it/archivio22_bandi-di-concorso_0_30322_874_1.html,high,Listed in the official elenco candidati ammessi.
ACU-PILOT-0009-CA-02,ACU-PILOT-0009,Paolo Gondoni,admitted,,ACU-PILOT-0009-DOC-05,https://unical.portaleamministrazionetrasparente.it/archivio22_bandi-di-concorso_0_30322_874_1.html,high,Listed in the official elenco candidati ammessi.
ACU-PILOT-0009-CA-03,ACU-PILOT-0009,Valentino Pingitore,admitted,,ACU-PILOT-0009-DOC-05,https://unical.portaleamministrazionetrasparente.it/archivio22_bandi-di-concorso_0_30322_874_1.html,high,Listed in the official elenco candidati ammessi.
ACU-PILOT-0009-CA-04,ACU-PILOT-0009,Giacomo Zuccarini,admitted,,ACU-PILOT-0009-DOC-05,https://unical.portaleamministrazionetrasparente.it/archivio22_bandi-di-concorso_0_30322_874_1.html,high,Listed in the official elenco candidati ammessi.
ACU-PILOT-0009-CA-05,ACU-PILOT-0009,Giacomo Bozzo,winner,,ACU-PILOT-0009-DOC-06,https://unical.portaleamministrazionetrasparente.it/archivio22_bandi-di-concorso_0_30322_874_1.html,high,Winner explicitly declared in Art. 2 of the official acts approval decree.
ACU-PILOT-0010-CA-01,ACU-PILOT-0010,Amellah Omayma,admitted,,ACU-PILOT-0010-DOC-05,https://unical.portaleamministrazionetrasparente.it/archivio22_bandi-di-concorso_0_30322_874_1.html,high,Listed in the official elenco candidati ammessi.
ACU-PILOT-0010-CA-02,ACU-PILOT-0010,Francesco Chidichimo,admitted,,ACU-PILOT-0010-DOC-05,https://unical.portaleamministrazionetrasparente.it/archivio22_bandi-di-concorso_0_30322_874_1.html,high,Listed in the official elenco candidati ammessi.
ACU-PILOT-0010-CA-03,ACU-PILOT-0010,Elena Carcano,admitted,,ACU-PILOT-0010-DOC-05,https://unical.portaleamministrazionetrasparente.it/archivio22_bandi-di-concorso_0_30322_874_1.html,high,Listed in the official elenco candidati ammessi.
ACU-PILOT-0010-CA-04,ACU-PILOT-0010,Francesco Chidichimo,winner,,ACU-PILOT-0010-DOC-06,https://unical.portaleamministrazionetrasparente.it/archivio22_bandi-di-concorso_0_30322_874_1.html,high,Winner explicitly declared in Art. 2 of the official acts approval decree.
ACU-PILOT-0003-CA-01,ACU-PILOT-0003,not_determinable,not_determinable,,ACU-PILOT-0003-DOC-05,https://bandi.unibo.it/s/apos4/d-r-n-155-del-4-febbraio-2025-bando-per-la-copertura-di-n-posti-di-professore-di-ii-fascia-ai-sensi-dell-art-18-comma-1-della-legge-240-2010/procedure/procedurabandodocenti/approvazione-atti/rif-1948-meds-17-a.pdf/%40%40download/file/Rif.1948.MEDS-17-A.pdf,low,"Official acts_approval document is registered, but the registered URL returned 404 during this extraction pass; candidate identities and statuses were not reliably extractable."
ACU-PILOT-0004-CA-01,ACU-PILOT-0004,not_determinable,not_determinable,,ACU-PILOT-0004-DOC-05,https://bandi.unibo.it/s/apos4/d-r-n-700-del-7-maggio-2025-bando-per-la-copertura-di-n-posti-di-professore-di-ii-fascia-ai-sensi-dell-art-18-comma-1-della-legge-240-2010/procedure/procedurabandodocenti/approvazione-atti/rif-1964-ind-03-a.pdf/%40%40download/file/Rif.%201964%20-%20IND-03-A.pdf,low,"Official acts_approval document is registered, but the registered URL returned 404 during this extraction pass; candidate identities and statuses were not reliably extractable."
ACU-PILOT-0005-CA-01,ACU-PILOT-0005,not_determinable,not_determinable,,ACU-PILOT-0005-DOC-05,https://bandi.unibo.it/s/apos4/d-r-n-858-del-6-giugno-2025-bando-per-la-copertura-di-n-posti-di-professore-di-i-fascia-ai-sensi-dell-art-18-comma-1-della-legge-240-2010/procedure/procedurabandodocenti-2/approvazione-atti,low,"Official acts_approval entry is registered, but the listed source page did not expose reliably extractable candidate identities/statuses in this extraction pass."
