profile_requirement_item_id,procedure_id,profile_requirement_id,item_type,item_text,source_excerpt,source_document_id,confidence_level,notes
ACU-PILOT-0002-PRI-02,ACU-PILOT-0002,ACU-PILOT-0002-PR-01,thematic_keyword,microvariazione,"... specifica attenzione alla microvariazione ...",ACU-PILOT-0002-DOC-02,high,Extracted thematic keyword from official call notice excerpt.
ACU-PILOT-0002-PRI-03,ACU-PILOT-0002,ACU-PILOT-0002-PR-01,thematic_keyword,aspetti morfosintattici,"... aspetti morfosintattici ...",ACU-PILOT-0002-DOC-02,high,Extracted thematic keyword from official call notice excerpt.
ACU-PILOT-0002-PRI-04,ACU-PILOT-0002,ACU-PILOT-0002-PR-01,thematic_keyword,prospettiva sincronica e diacronica,"... prospettiva sincronica e diacronica ...",ACU-PILOT-0002-DOC-02,high,Extracted thematic keyword from official call notice excerpt.
ACU-PILOT-0002-PRI-05,ACU-PILOT-0002,ACU-PILOT-0002-PR-01,methodological_keyword,creazione e gestione di banche dati e corpora,"... capacità di creare e gestire ... banche dati e corpora.",ACU-PILOT-0002-DOC-02,high,Methodological requirement preserved as explicit item text.
ACU-PILOT-0002-PRI-06,ACU-PILOT-0002,ACU-PILOT-0002-PR-01,experience_requirement,dottorato o titolo equivalente coerente con il profilo,"Profile coding based on official BANDO text only.",ACU-PILOT-0002-DOC-02,medium,Experience requirement follows existing aggregate note and calibration policy.
ACU-PILOT-0002-PRI-07,ACU-PILOT-0002,ACU-PILOT-0002-PR-01,project_lab_centre_reference,sviluppo del progetto Dimensioni di variazione,"Le attività ... sono legate allo sviluppo del progetto",ACU-PILOT-0002-DOC-02,high,Project reference preserved from official excerpt.
ACU-PILOT-0002-PRI-08,ACU-PILOT-0002,ACU-PILOT-0002-PR-01,thematic_keyword,variazione sociolinguistica,"Dimensioni di variazione tra tipologia e sociolinguistica",ACU-PILOT-0002-DOC-02,high,Additional thematic item to align item count with aggregate thematic coding.
ACU-PILOT-0002-PRI-09,ACU-PILOT-0002,ACU-PILOT-0002-PR-01,methodological_keyword,analisi in prospettiva sincronica,"... prospettiva sincronica ...",ACU-PILOT-0002-DOC-02,high,Additional methodological item to align item count with aggregate methodological coding.
ACU-PILOT-0002-PRI-10,ACU-PILOT-0002,ACU-PILOT-0002-PR-01,methodological_keyword,analisi in prospettiva diacronica,"... prospettiva ... diacronica ...",ACU-PILOT-0002-DOC-02,high,Additional methodological item to align item count with aggregate methodological coding.
ACU-PILOT-0002-PRI-11,ACU-PILOT-0002,ACU-PILOT-0002-PR-01,methodological_keyword,metodologia di costruzione di corpora linguistici,"... capacità di creare e gestire ... corpora.",ACU-PILOT-0002-DOC-02,high,Additional methodological item to align item count with aggregate methodological coding.
ACU-PILOT-0006-PRI-01,ACU-PILOT-0006,ACU-PILOT-0006-PR-01,thematic_keyword,settore INFO-01/A Informatica,"... ricerche nel settore INFO-01/A - Informatica ...",ACU-PILOT-0006-DOC-02,high,Thematic keyword extracted from official call notice excerpt.
ACU-PILOT-0006-PRI-02,ACU-PILOT-0006,ACU-PILOT-0006-PR-01,thematic_keyword,intelligenza artificiale,"... con particolare riferimento all’Intelligenza Artificiale.",ACU-PILOT-0006-DOC-02,high,Thematic keyword extracted from official call notice excerpt.
ACU-PILOT-0006-PRI-03,ACU-PILOT-0006,ACU-PILOT-0006-PR-01,experience_requirement,dottorato o titolo equivalente richiesto per la procedura,"Profile coding based on official Unical call notice ... requisito di dottorato/equivalente.",ACU-PILOT-0006-DOC-02,medium,Experience requirement aligned with aggregate calibration note.
ACU-PILOT-0006-PRI-04,ACU-PILOT-0006,ACU-PILOT-0006-PR-01,language_requirement,inglese,"Lingua straniera di cui è richiesta la conoscenza: Inglese.",ACU-PILOT-0006-DOC-02,high,Language requirement extracted from official call notice excerpt.
ACU-PILOT-0007-PRI-01,ACU-PILOT-0007,ACU-PILOT-0007-PR-01,thematic_keyword,settore MATH-03/A,"... ricerche nel settore MATH-03/A ...",ACU-PILOT-0007-DOC-01,high,Thematic keyword extracted from official call notice excerpt.
ACU-PILOT-0007-PRI-02,ACU-PILOT-0007,ACU-PILOT-0007-PR-01,thematic_keyword,equazioni alle derivate parziali,"... con particolare riferimento allo studio delle equazioni alle derivate parziali.",ACU-PILOT-0007-DOC-01,high,Thematic keyword extracted from official call notice excerpt.
ACU-PILOT-0007-PRI-03,ACU-PILOT-0007,ACU-PILOT-0007-PR-01,thematic_keyword,insegnamento nei corsi triennali e magistrali,"L’impegno didattico ... per i corsi di studio triennali e magistrali ...",ACU-PILOT-0007-DOC-01,medium,Thematic teaching-domain keyword extracted from official call notice excerpt.
ACU-PILOT-0007-PRI-04,ACU-PILOT-0007,ACU-PILOT-0007-PR-01,experience_requirement,dottorato o titolo equivalente richiesto per la procedura,"Profile coding ... requisito di dottorato/equivalente.",ACU-PILOT-0007-DOC-01,medium,Experience requirement aligned with aggregate calibration note.
ACU-PILOT-0007-PRI-05,ACU-PILOT-0007,ACU-PILOT-0007-PR-01,language_requirement,inglese,"... anche in lingua inglese.",ACU-PILOT-0007-DOC-01,high,Language requirement extracted from official call notice excerpt.
ACU-PILOT-0009-PRI-01,ACU-PILOT-0009,ACU-PILOT-0009-PR-01,thematic_keyword,settore PHYS-06/B,"... ricerche nel settore PHYS-06/B ...",ACU-PILOT-0009-DOC-01,high,Thematic keyword extracted from official call notice excerpt.
ACU-PILOT-0009-PRI-02,ACU-PILOT-0009,ACU-PILOT-0009-PR-01,thematic_keyword,attività di apprendimento innovative delle scienze empiriche,"... sviluppo e la validazione di attività di apprendimento innovative delle scienze empiriche ...",ACU-PILOT-0009-DOC-01,high,Thematic keyword extracted from official call notice excerpt.
ACU-PILOT-0009-PRI-03,ACU-PILOT-0009,ACU-PILOT-0009-PR-01,thematic_keyword,scuola primaria,"... nella scuola primaria ...",ACU-PILOT-0009-DOC-01,high,Thematic keyword extracted from official call notice excerpt.
ACU-PILOT-0009-PRI-04,ACU-PILOT-0009,ACU-PILOT-0009-PR-01,thematic_keyword,attività laboratoriali per scuola secondaria e formazione docenti,"... attività di apprendimento laboratoriali per la scuola secondaria e per la formazione dei docenti ...",ACU-PILOT-0009-DOC-01,high,Thematic keyword extracted from official call notice excerpt.
ACU-PILOT-0009-PRI-05,ACU-PILOT-0009,ACU-PILOT-0009-PR-01,methodological_keyword,sviluppo e validazione di attività di apprendimento,"... sviluppo e la validazione di attività di apprendimento innovative ...",ACU-PILOT-0009-DOC-01,high,Methodological keyword extracted from official call notice excerpt.
ACU-PILOT-0009-PRI-06,ACU-PILOT-0009,ACU-PILOT-0009-PR-01,experience_requirement,dottorato o titolo equivalente richiesto per la procedura,"Profile coding ... requisito di dottorato/equivalente.",ACU-PILOT-0009-DOC-01,medium,Experience requirement aligned with aggregate calibration note.
ACU-PILOT-0009-PRI-07,ACU-PILOT-0009,ACU-PILOT-0009-PR-01,language_requirement,inglese,"... anche in lingua inglese.",ACU-PILOT-0009-DOC-01,high,Language requirement extracted from official call notice excerpt.
ACU-PILOT-0010-PRI-01,ACU-PILOT-0010,ACU-PILOT-0010-PR-01,thematic_keyword,settore CEAR-01/B,"... attività di ricerca e didattica nel SSD CEAR-01/B ...",ACU-PILOT-0010-DOC-01,high,Thematic keyword extracted from official call notice excerpt.
ACU-PILOT-0010-PRI-02,ACU-PILOT-0010,ACU-PILOT-0010-PR-01,thematic_keyword,modellazione dei fenomeni di flusso e trasporto di massa,"... Modellazione dei fenomeni di flusso e trasporto di massa all’interno di mezzi porosi.",ACU-PILOT-0010-DOC-01,high,Thematic keyword extracted from official call notice excerpt.
ACU-PILOT-0010-PRI-03,ACU-PILOT-0010,ACU-PILOT-0010-PR-01,thematic_keyword,caratterizzazione di materiali innovativi,"... Caratterizzazione di materiali innovativi ...",ACU-PILOT-0010-DOC-01,high,Thematic keyword extracted from official call notice excerpt.
ACU-PILOT-0010-PRI-04,ACU-PILOT-0010,ACU-PILOT-0010-PR-01,thematic_keyword,bonifica delle acque e recupero di critical raw materials,"... bonificare le acque ... o recuperare Critical Raw Materials.",ACU-PILOT-0010-DOC-01,high,Thematic keyword extracted from official call notice excerpt.
ACU-PILOT-0010-PRI-05,ACU-PILOT-0010,ACU-PILOT-0010-PR-01,methodological_keyword,modellazione interpretativa per sistemi filtranti,"... sviluppo di modelli interpretativi per sistemi filtranti ...",ACU-PILOT-0010-DOC-01,high,Methodological keyword extracted from official call notice excerpt.
ACU-PILOT-0010-PRI-06,ACU-PILOT-0010,ACU-PILOT-0010-PR-01,methodological_keyword,modellazione di flusso e trasporto in mezzi porosi,"... Modellazione dei fenomeni di flusso e trasporto di massa all’interno di mezzi porosi.",ACU-PILOT-0010-DOC-01,high,Methodological keyword extracted from official call notice excerpt.
ACU-PILOT-0010-PRI-07,ACU-PILOT-0010,ACU-PILOT-0010-PR-01,experience_requirement,dottorato o titolo equivalente richiesto per la procedura,"Profile coding ... requisito di dottorato/equivalente.",ACU-PILOT-0010-DOC-01,medium,Experience requirement aligned with aggregate calibration note.
ACU-PILOT-0010-PRI-08,ACU-PILOT-0010,ACU-PILOT-0010-PR-01,language_requirement,inglese,"... anche in lingua inglese.",ACU-PILOT-0010-DOC-01,high,Language requirement extracted from official call notice excerpt.
ACU-PILOT-0003-PRI-01,ACU-PILOT-0003,ACU-PILOT-0003-PR-01,thematic_keyword,settore MEDS-17/A,"... SSD MEDS-17/A ...",ACU-PILOT-0003-DOC-01,high,Thematic keyword extracted from official call notice excerpt.
ACU-PILOT-0003-PRI-02,ACU-PILOT-0003,ACU-PILOT-0003-PR-01,thematic_keyword,malattie dell apparato visivo,"... Scuola di Specializzazione in Malattie dell’apparato visivo.",ACU-PILOT-0003-DOC-01,high,Thematic keyword extracted from official call notice excerpt.
ACU-PILOT-0003-PRI-03,ACU-PILOT-0003,ACU-PILOT-0003-PR-01,thematic_keyword,ambiti oftalmologici cornea e superficie oculare,"Impegno scientifico/assistenziale su ambiti oftalmologici (es. cornea/superficie oculare ...).",ACU-PILOT-0003-DOC-01,high,Thematic keyword extracted from official call notice excerpt.
ACU-PILOT-0003-PRI-04,ACU-PILOT-0003,ACU-PILOT-0003-PR-01,thematic_keyword,conservazione e utilizzo di tessuti di origine oculare,"... conservazione e utilizzo di tessuti di origine oculare.",ACU-PILOT-0003-DOC-01,high,Thematic keyword extracted from official call notice excerpt.
ACU-PILOT-0003-PRI-05,ACU-PILOT-0003,ACU-PILOT-0003-PR-01,experience_requirement,dottorato o titolo equivalente richiesto per la procedura,"Profile extracted ... Experience count reflects explicit prior-qualification requirement.",ACU-PILOT-0003-DOC-01,medium,Experience requirement aligned with aggregate calibration note.
ACU-PILOT-0003-PRI-06,ACU-PILOT-0003,ACU-PILOT-0003-PR-01,language_requirement,inglese,"Eventuali competenze linguistiche ulteriori: Inglese.",ACU-PILOT-0003-DOC-01,high,Language requirement extracted from official call notice excerpt.
ACU-PILOT-0004-PRI-01,ACU-PILOT-0004,ACU-PILOT-0004-PR-01,thematic_keyword,settore IIND-03/A,"... SSD IIND-03/A ...",ACU-PILOT-0004-DOC-01,high,Thematic keyword extracted from official call notice excerpt.
ACU-PILOT-0004-PRI-02,ACU-PILOT-0004,ACU-PILOT-0004-PR-01,thematic_keyword,ingegneria meccanica,"... attività didattiche prevalenti sui corsi di Ingegneria Meccanica.",ACU-PILOT-0004-DOC-01,high,Thematic keyword extracted from official call notice excerpt.
ACU-PILOT-0004-PRI-03,ACU-PILOT-0004,ACU-PILOT-0004-PR-01,thematic_keyword,progettazione di macchine automatiche,"Tematiche indicate nel bando: progettazione di macchine automatiche ...",ACU-PILOT-0004-DOC-01,high,Thematic keyword extracted from official call notice excerpt.
ACU-PILOT-0004-PRI-04,ACU-PILOT-0004,ACU-PILOT-0004-PR-01,thematic_keyword,progettazione di componenti in materiale composito,"... progettazione di componenti in materiale composito ...",ACU-PILOT-0004-DOC-01,high,Thematic keyword extracted from official call notice excerpt.
ACU-PILOT-0004-PRI-05,ACU-PILOT-0004,ACU-PILOT-0004-PR-01,methodological_keyword,progettazione mediante tecnologie additive,"... progettazione mediante tecnologie additive ...",ACU-PILOT-0004-DOC-01,high,Methodological keyword extracted from official call notice excerpt.
ACU-PILOT-0004-PRI-06,ACU-PILOT-0004,ACU-PILOT-0004-PR-01,methodological_keyword,attività formative in lingua inglese,"... attività formative anche in lingua inglese.",ACU-PILOT-0004-DOC-01,medium,Methodological keyword aligned with aggregate methodological coding.
ACU-PILOT-0004-PRI-07,ACU-PILOT-0004,ACU-PILOT-0004-PR-01,experience_requirement,dottorato o titolo equivalente richiesto per la procedura,"Profile extracted ... Experience count reflects explicit prior-qualification requirement.",ACU-PILOT-0004-DOC-01,medium,Experience requirement aligned with aggregate calibration note.
ACU-PILOT-0004-PRI-08,ACU-PILOT-0004,ACU-PILOT-0004-PR-01,language_requirement,inglese,"... attività formative anche in lingua inglese.",ACU-PILOT-0004-DOC-01,high,Language requirement extracted from official call notice excerpt.
ACU-PILOT-0005-PRI-01,ACU-PILOT-0005,ACU-PILOT-0005-PR-01,thematic_keyword,settore INFO-01/A,"... SSD INFO-01/A ...",ACU-PILOT-0005-DOC-01,high,Thematic keyword extracted from official call notice excerpt.
ACU-PILOT-0005-PRI-02,ACU-PILOT-0005,ACU-PILOT-0005-PR-01,thematic_keyword,copertura didattica nel settore INFO-01/A,"... insegnamenti del SSD INFO-01/A secondo esigenze di copertura didattica.",ACU-PILOT-0005-DOC-01,high,Thematic keyword extracted from official call notice excerpt.
ACU-PILOT-0005-PRI-03,ACU-PILOT-0005,ACU-PILOT-0005-PR-01,experience_requirement,dottorato o titolo equivalente richiesto per la procedura,"Profile extracted ... Experience count reflects explicit prior-qualification requirement.",ACU-PILOT-0005-DOC-01,medium,Experience requirement aligned with aggregate calibration note.
ACU-PILOT-0005-PRI-04,ACU-PILOT-0005,ACU-PILOT-0005-PR-01,language_requirement,inglese,"... competenze linguistiche ulteriori in inglese.",ACU-PILOT-0005-DOC-01,high,Language requirement extracted from official call notice excerpt.
ACU-PILOT-0008-PRI-01,ACU-PILOT-0008,ACU-PILOT-0008-PR-01,thematic_keyword,settore BIOS-07/A Biochimica,"... SSD BIOS-07/A - Biochimica.",ACU-PILOT-0008-DOC-01,high,Thematic keyword extracted from official call notice excerpt.
ACU-PILOT-0008-PRI-02,ACU-PILOT-0008,ACU-PILOT-0008-PR-01,thematic_keyword,tematiche di ricerca proprie del settore,"Tipologia di impegno scientifico: tematiche di ricerca proprie del SSD BIOS-07/A.",ACU-PILOT-0008-DOC-01,high,Thematic keyword extracted from official call notice excerpt.
ACU-PILOT-0008-PRI-03,ACU-PILOT-0008,ACU-PILOT-0008-PR-01,experience_requirement,dottorato o titolo equivalente richiesto per la procedura,"Profile extracted ... Experience count reflects explicit prior-qualification requirement.",ACU-PILOT-0008-DOC-01,medium,Experience requirement aligned with aggregate calibration note.
ACU-PILOT-0008-PRI-04,ACU-PILOT-0008,ACU-PILOT-0008-PR-01,language_requirement,inglese,"Lingua straniera: Inglese.",ACU-PILOT-0008-DOC-01,high,Language requirement extracted from official call notice excerpt.
