triage_id,university_id,source_url,link_url,link_text,classified_type,triage_status,triage_confidence,keep_for_review,exclude_from_competition_queue,exclusion_reason,positive_signals,negative_signals,requires_human_attention,observed_at_utc,triaged_at_utc
it-unibo-triage-00016,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://book.unibo.it/,UnibooK - Open knowledge,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,external_domain,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00017,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://virtuale.unibo.it,Virtuale - Materiali didattici,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,external_domain,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00018,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://almaesami.unibo.it/almaesami/welcome.htm,AlmaEsami,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,external_domain,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00019,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://almaregistri.unibo.it/almaregistri/welcome.htm,AlmaRegistri,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,external_domain,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00020,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://almarm.unibo.it/almarm/personale/home.htm,AlmaRM - Mobilità internazionale,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,external_domain,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00021,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://cedolini.unibo.it/,Cedolini web,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,external_domain,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00022,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/concilium,Concilium,unknown,unknown_requires_review,not_determinable,yes,no,,,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00023,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://incarichiextraistituzionali.unibo.it/incarichiextraistituzionali/init.do,Incarichi extraistituzionali,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,external_domain,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00024,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://cris.unibo.it,IRIS - Archivio produzione scientifica,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,external_domain,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00025,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://intranet.unibo.it/organiweb,OrganiWeb,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,external_domain,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00026,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://personale-unibo.hrgpi.it/,Presenze - EVO,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,external_domain,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00027,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://segnalaunevento.unibo.it/,Segnala un evento,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,external_domain,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00028,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://intranet.unibo.it/MioPortale/Pagine/TitulusProtocollo.aspx,Titulus,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,external_domain,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00029,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://unibo.u-web.cineca.it/apprep/#!/lanciorapido,U-Web Reporting – Contabilità progetti,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,external_domain,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00030,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://virtuale.unibo.it/,Virtuale - Materiali didattici,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,external_domain,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00031,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://intranet.unibo.it/MioPortale/Pagine/ServiziOnline.aspx,Vedi tutti,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,external_domain,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00032,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://intranet.unibo.it/,Intranet d'Ateneo,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,external_domain,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00033,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://studenti.unibo.it/,Studenti Online,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,external_domain;studenti,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00034,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://outlook.office.com/unibo.it/,Accedi,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,external_domain,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00035,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/it/ateneo/organizzazione-e-sedi/servizi-di-ateneo/servizi-online/la-mia-e-mail,Guida e informazioni,unknown,unknown_requires_review,not_determinable,yes,no,,,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00036,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/it,,unknown,unknown_requires_review,not_determinable,yes,no,,,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00037,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/it/ateneo,Ateneo,unknown,unknown_requires_review,not_determinable,yes,no,,,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00038,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/it/ateneo/chi-siamo,Chi siamo,unknown,unknown_requires_review,not_determinable,yes,no,,,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00039,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/it/ateneo/organizzazione-e-sedi,Organizzazione e sedi,unknown,unknown_requires_review,not_determinable,yes,no,,,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unibo-triage-00040,it-unibo,https://www.unibo.it/it/ateneo/lavora-con-noi,https://www.unibo.it/it/ateneo/statuto-norme-strategie-bilanci,"Statuto e norme, strategie e bilanci",unknown,unknown_requires_review,not_determinable,yes,no,,,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00041,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/ricerca-avanzata?query=Corsi,Corsi,unknown,unknown_requires_review,not_determinable,yes,no,,,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00042,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/ricerca-avanzata?query=Iscriversi,Iscriversi,unknown,unknown_requires_review,not_determinable,yes,no,,,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00043,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/ricerca-avanzata?query=Grant,Grant,unknown,unknown_requires_review,not_determinable,yes,no,,,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00044,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/ricerca-avanzata?query=Contribuzione,Contribuzione,unknown,unknown_requires_review,not_determinable,yes,no,,,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00045,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/ricerca-avanzata?query=Alloggi,Alloggi,unknown,unknown_requires_review,not_determinable,yes,no,,,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00046,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/ricerca-avanzata?query=Borse%20di%20studio,Borse di studio,unknown,unknown_requires_review,not_determinable,yes,no,,,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00047,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/ricerca-avanzata?query=Master,Master,unknown,unknown_requires_review,not_determinable,yes,no,,,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00048,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/scuole,Scuole,unknown,unknown_requires_review,not_determinable,yes,no,,,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00049,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/dipartimenti,Dipartimenti,unknown,unknown_requires_review,not_determinable,yes,no,,,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00050,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/centri-ateneo,Centri,unknown,unknown_requires_review,not_determinable,yes,no,,,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00051,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/sostieni-unipd,Sostieni Unipd,unknown,unknown_requires_review,not_determinable,yes,no,,,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00052,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/area-stampa,Area stampa,unknown,unknown_requires_review,not_determinable,yes,no,,,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00053,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/lavora-con-noi,Lavora con noi,unknown,possible_competition_source,medium,yes,no,,lavora con noi;lavora-con-noi,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00054,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/rubrica,phone,unknown,generic_institutional_page,low,no,yes,Generic institutional or service-page signal without competition signal.,,rubrica,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00055,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/webmail,mail,unknown,generic_institutional_page,low,no,yes,Generic institutional or service-page signal without competition signal.,,webmail,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00056,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/,,unknown,unknown_requires_review,not_determinable,yes,no,,,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00057,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.universitaperta-unipd.it/eventi/universita-aperta/universita-aperta-2026,Registrati e partecipa,unknown,likely_not_relevant,medium,no,yes,Negative navigation/legal/external-domain signal without competition signal.,,/eventi;eventi;external_domain,no,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00058,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/per-chi-lavora,Scopri di cosa si tratta,unknown,unknown_requires_review,not_determinable,yes,no,,,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00059,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/servizi/supporto-studio/tutorato/diventare-tutor,Scopri come,unknown,unknown_requires_review,not_determinable,yes,no,,,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00060,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/alloggi-studenti-internazionali,Scopri di più,unknown,generic_institutional_page,low,no,yes,Generic institutional or service-page signal without competition signal.,,studenti,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00061,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/orientarsi-iscriversi-titolo-italiano,I nostri servizi di orientamentoAl tuo fianco nella scelta,unknown,generic_institutional_page,low,no,yes,Generic institutional or service-page signal without competition signal.,,orientamento,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00062,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/corsi,Trova il tuo corsoEntra a fare parte della comunità Unipd,unknown,unknown_requires_review,not_determinable,yes,no,,,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00063,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/corsi/internazionale,Fai esperienza all’esteroUn’opportunità formidabile,unknown,possible_competition_source,medium,yes,no,,opportunità,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00064,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/corsi/verso-il-lavoro,Dopo la laureaProsegui gli studi o avviati al lavoro,unknown,unknown_requires_review,not_determinable,yes,no,,,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00065,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/universita-e-citta,Unipd lifePartecipa alla vita del campus,unknown,generic_institutional_page,low,no,yes,Generic institutional or service-page signal without competition signal.,,campus,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00066,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/edilizia-contemporanea,Scopri di più,unknown,unknown_requires_review,not_determinable,yes,no,,,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00067,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/news,Scopri tutte le notizie,unknown,generic_institutional_page,low,no,yes,Generic institutional or service-page signal without competition signal.,,/news;news,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00068,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/it/news/colloquia-il-simulatore-intelligente-di-unipd-prepararsi-ai-colloqui-di-lavoro,"Studentesse e studentiColloquIA, il simulatore intelligente di Unipd per prepararsi ai colloqui di lavoroL’IA al servizio dell’orientamento: un avatar-recruiter per prepararsi ai colloqui in modo pratico e personalizzato18/05/26",unknown,generic_institutional_page,low,no,yes,Generic institutional or service-page signal without competition signal.,,/news;news;orientamento;studenti,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00069,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/it/news/obesita-nel-mondo-rallenta-nei-paesi-sviluppati-cresce-nei-paesi-di-sviluppo,"RicercaObesità nel mondo: rallenta nei Paesi sviluppati, cresce nei Paesi in via di sviluppoObesità mondiale: contenimento nei Paesi industrializzati, crescita critica nei Paesi più poveri18/05/26",unknown,generic_institutional_page,low,no,yes,Generic institutional or service-page signal without competition signal.,,/news;news,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00070,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/it/news/luniversita-di-padova-alla-lion-explorer-2026-di-dragon-boat,"Studentesse e studentiL’Università di Padova al secondo posto nella Lion Explorer 2026 di Dragon BoatUna giornata di sport, inclusione e confronto internazionale tra atenei sulle acque veneziane18/05/26",unknown,generic_institutional_page,low,no,yes,Generic institutional or service-page signal without competition signal.,,/news;news;studenti,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00071,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/it/news/un-dipartimento-ciclosostenibile,Studentesse e studentiUn dipartimento ciclosostenibileIl Dipartimento di Matematica ha inaugurato le nuove strutture dedicate alla mobilità in bicicletta15/05/26,unknown,generic_institutional_page,low,no,yes,Generic institutional or service-page signal without competition signal.,,/news;news;studenti,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00072,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/it/news/innodabio-luniversita-di-padova-trasforma-le-bioplastiche-biometano,"RicercaInnoDABio, l’Università di Padova trasforma le bioplastiche in biometanoPresentati i risultati del progetto con Fondazione Cariverona, ETRA e BTS Biogas14/05/26",unknown,generic_institutional_page,low,no,yes,Generic institutional or service-page signal without competition signal.,,/news;news,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00073,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/it/news/depressione-e-tempo-sospeso-lo-studio-delle-universita-di-padova-e-pisa,"RicercaDepressione e tempo ""sospeso"": lo studio delle Università di Pisa e PadovaUna ricerca evidenzia come la depressione “scollega” emozioni e orologio interno 13/05/26",unknown,generic_institutional_page,low,no,yes,Generic institutional or service-page signal without competition signal.,,/news;news;press,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00074,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/it/news/al-i-corsi-estivi-bressanone-laa-20252026,"Studentesse e studentiAl via i corsi estivi a Bressanone per l’a.a. 2025/2026La Summer School propone 39 corsi condivisi tra le Scuole di Ateneo, organizzati in due turni tra luglio e agosto 202613/05/26",unknown,generic_institutional_page,low,no,yes,Generic institutional or service-page signal without competition signal.,,/news;news;studenti,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00075,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/it/news/coabitazione-intergenerazionale-al-la-quarta-edizione-del-progetto,"Studentesse e studentiCoabitazione intergenerazionale, al via la quarta edizione del progettoStudenti e studentesse in cerca di casa e persone over 65 disponibili a ospitare possono candidarsi online entro giugno13/05/26",unknown,generic_institutional_page,low,no,yes,Generic institutional or service-page signal without competition signal.,,/news;news;studenti,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00076,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/it/events/mostre-dedicate-agli-architetti-mansutti-e-miozzo,Economia e societàMostre dedicate agli architetti Mansutti e MiozzoMostreSedi varie - Padovadal 17 maggio 2026 al 31 luglio 202608:00 - 17:00,unknown,generic_institutional_page,low,no,yes,Generic institutional or service-page signal without competition signal.,,/events;events,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00077,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/it/events/maggio-al-museo-poleni,Scienza e tecnologiaMaggio al Museo PoleniAttività per tutte le etàMuseo Giovanni Poleni - Padovadal 17 maggio 2026 al 31 maggio 202613:00 - 17:00,unknown,possible_competition_source,medium,yes,no,,tecnologi,/events;events,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00078,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/it/events/congresso-di-ottica-e-optometria,Medicina e saluteCongresso di Ottica e OptometriaCongressoPalazzo del Bo - Padova18 maggio 202607:00 - 15:00,unknown,generic_institutional_page,low,no,yes,Generic institutional or service-page signal without competition signal.,,/events;events,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00079,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/it/events/industria-e-design-del-videogioco-italia,Scienza e tecnologiaIndustria e design del videogioco in ItaliaLezionePalazzo Beldomandi - Padova18 maggio 202608:30 - 10:30,unknown,possible_competition_source,medium,yes,no,,tecnologi,/events;events,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00080,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/it/events/traces-forty-students-around-world,"Storia e culturaTraces of ""Forty"" - Students from around the worldVisite guidate tematiche a Palazzo del BoPalazzo del Bo - Padova18 maggio 202611:00 - 15:00",unknown,generic_institutional_page,low,no,yes,Generic institutional or service-page signal without competition signal.,,/events;events;students,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00081,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/lavora-con-noi,Lavora con noi,unknown,possible_competition_source,medium,yes,no,,lavora con noi;lavora-con-noi,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00082,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/selezioni-personale-indeterminato,Per personale pta a tempo indeterminato,unknown,possible_competition_source,medium,yes,no,,pta;selezioni,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00083,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/selezioni-personale-determinato,Per personale pta a tempo determinato,unknown,possible_competition_source,medium,yes,no,,pta;selezioni,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
it-unipd-triage-00084,it-unipd,https://www.unipd.it/concorsi-selezioni-personale-docente,https://www.unipd.it/accoglienza-docenti-ricercatori-internazionali,Scopri di più,unknown,possible_competition_source,medium,yes,no,,ricercatori,,yes,2026-05-18T14:08:59Z,2026-08-22T12:47:06Z
